,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,Bell Ville,0,AR,1554692237,84,-32.63,-62.69,54.18,3.6
87,Mehamn,48,NO,1554692146,83,71.03,27.85,22.05,4.72
88,Great Yarmouth,0,GB,1554692164,93,52.61,1.73,46.0,1.12
89,Fort Frances,90,CA,1554691634,100,48.61,-93.4,42.8,8.05
90,Harper,1,US,1554692135,82,30.3,-99.24,63.0,7.96
91,Voi,36,KE,1554692238,91,-3.4,38.57,63.27,1.48
92,Tasiilaq,92,GL,1554688200,91,65.61,-37.64,32.0,19.46
93,Irbeyskoye,44,RU,1554692239,54,55.64,95.45,33.48,8.52
94,Vylkove,92,UA,1554692239,89,45.4,29.58,47.52,8.19
95,Maningrida,64,AU,1554692239,97,-12.05,134.23,81.18,10.09
96,Progreso,0,UY,1554691564,82,-34.68,-56.22,66.0,4.7
97,Mar del Plata,76,AR,1554691950,100,-46.43,-67.52,49.68,10.42
98,Bethel,40,US,1554688560,60,60.79,-161.76,42.8,11.41
99,Georgetown,20,GY,1554688800,74,6.8,-58.16,80.6,9.17
100,Ferkessedougou,20,CI,1554692240,92,9.6,-5.2,73.08,6.73
101,Chuy,0,UY,1554692077,91,-33.69,-53.46,57.6,5.61
102,Vardo,90,US,1554692128,82,39.62,-77.74,64.99,8.75
103,Lorengau,80,PG,1554692189,100,-2.02,147.27,81.99,5.61
104,Sao Joao da Barra,8,BR,1554691816,94,-21.64,-41.05,82.26,25.08
105,Zhongxing,0,CN,1554692241,64,32.02,116.14,84.15,7.29
106,Springbok,64,ZA,1554692241,91,-29.67,17.88,47.7,4.38
107,Cranbrook,40,CA,1554688800,56,49.51,-115.76,44.6,11.41
108,Atambua,0,ID,1554692241,94,-9.11,124.89,83.7,3.6
109,Albany,1,US,1554691930,50,42.65,-73.75,59.0,9.17
110,Kahului,20,US,1554691839,57,20.89,-156.47,82.4,14.99
111,Broome,12,GB,1554692147,93,52.47,1.45,46.0,1.12
112,Khatanga,24,RU,1554692065,80,71.98,102.47,9.9,4.38
113,Gornyak,0,KZ,1554692242,80,51.0,81.46,32.94,10.2
114,Hanko,64,FI,1554692241,91,59.83,22.95,35.01,4.0
115,Sibolga,8,ID,1554692003,88,1.74,98.78,78.66,2.59
116,Lagoa,40,PT,1554691654,87,37.14,-8.45,60.8,12.75
117,Saskylakh,0,RU,1554691789,91,71.97,114.09,18.45,5.5
118,Taltal,0,CL,1554692243,95,-25.41,-70.49,54.18,2.04
119,Petatlan,40,MX,1554687780,78,17.52,-101.27,78.8,6.93
120,Fairbanks,1,US,1554692143,34,64.84,-147.72,55.4,3.36
121,Qaanaaq,80,GL,1554691948,83,77.48,-69.36,22.77,13.22
122,Lensk,20,RU,1554692243,58,60.71,114.91,35.46,6.96
123,Angoram,36,PG,1554692244,62,-4.06,144.07,90.45,2.82
124,Muqui,0,BR,1554692244,87,-20.96,-41.35,69.66,3.94
125,Scarborough,0,GB,1554692237,93,54.28,-0.41,46.4,8.05
126,Upernavik,92,GL,1554692067,92,72.79,-56.15,27.63,7.07
127,Celestun,64,MX,1554692244,81,20.87,-90.4,84.87,8.52
128,Ninghai,24,CN,1554692152,47,29.29,121.42,88.0,4.47
129,Shache,20,CN,1554692193,79,38.42,77.24,63.0,5.61
130,Saint-Georges,68,CA,1554690699,84,46.12,-70.67,30.99,4.83
131,Melita,24,CA,1554692003,75,49.27,-100.98,46.99,1.01
132,Aktau,90,KZ,1554690600,93,43.65,51.16,51.8,6.71
133,Aykhal,32,RU,1554691947,77,65.95,111.51,21.24,5.39
134,Marsh Harbour,0,BS,1554691942,100,26.54,-77.06,76.23,12.88
135,Riom,90,FR,1554691647,80,45.89,3.11,41.0,1.12
136,Avarua,8,CK,1554690600,74,-21.21,-159.78,82.4,14.99
137,Nhlangano,80,SZ,1554692246,98,-27.11,31.2,61.83,2.37
138,Omsukchan,0,RU,1554692246,82,62.53,155.8,27.09,3.6
139,Sulangan,68,PH,1554692247,100,11.14,123.72,81.18,14.0
140,San Cristobal,75,EC,1554691551,93,-0.39,-78.55,57.2,4.7
141,Churapcha,20,RU,1554692247,54,62.0,132.43,34.38,7.4
142,Lebanon,75,US,1554692003,57,43.64,-72.25,50.0,3.36
143,Lesozavodsk,20,RU,1554692248,100,45.47,133.42,43.65,7.4
144,Revelstoke,75,CA,1554688800,100,50.99,-118.19,41.0,3.36
145,Babu,0,CN,1554692248,71,23.23,104.89,73.17,6.96
146,Albertville,75,FR,1554691590,87,45.68,6.39,44.6,1.12
147,Taraz,68,KZ,1554692223,81,42.89,71.39,55.0,6.71
148,Gap,12,FR,1554691985,90,44.56,6.08,35.01,2.26
149,Kazachinskoye,44,RU,1554692249,87,57.69,93.28,30.51,5.95
150,Ust-Omchug,8,RU,1554692249,76,61.13,149.63,29.7,3.49
151,Anloga,20,GH,1554688800,88,5.79,0.9,77.0,3.36
152,Booue,92,GA,1554692249,94,-0.09,11.94,75.33,2.26
153,Muzhi,88,RU,1554692250,94,65.4,64.7,31.5,3.49
154,Seymchan,8,RU,1554692250,86,62.93,152.39,29.7,3.71
155,Smolenskoye,0,RU,1554692250,95,52.31,85.08,34.29,4.38
156,Iquitos,75,PE,1554688800,94,-3.75,-73.25,73.4,1.12
157,Aloleng,8,PH,1554692251,84,16.13,119.78,87.12,2.71
158,Axim,36,GH,1554692251,100,4.87,-2.24,80.46,7.52
159,Severo-Kurilsk,88,RU,1554691650,92,50.68,156.12,32.67,24.52
160,Svetlogorsk,76,RU,1554690600,87,53.14,59.15,32.0,4.47
161,Qasigiannguit,48,GL,1554688200,41,68.82,-51.19,41.0,17.22
162,Talnakh,68,RU,1554691816,96,69.49,88.39,14.85,9.75
163,Cotonou,20,BJ,1554688800,94,6.37,2.43,77.0,3.36
164,Saldanha,88,PT,1554692148,98,41.42,-6.55,45.45,8.08
165,Carnarvon,44,ZA,1554691944,95,-30.97,22.13,54.09,9.42
166,Luderitz,0,NA,1554692109,92,-26.65,15.16,56.16,10.54
167,Vostok,56,RU,1554691956,58,46.45,135.83,40.5,2.93
168,San Jose,8,PH,1554692111,68,15.79,120.99,85.32,2.93
169,Kaitangata,20,NZ,1554692014,66,-46.28,169.85,63.0,7.0
170,Coquimbo,90,CL,1554688800,87,-29.95,-71.34,59.0,2.37
171,Kandrian,56,PG,1554692253,80,-6.21,149.55,83.88,3.49
172,Vestmannaeyjar,56,IS,1554691967,92,63.44,-20.27,37.62,17.69
173,Nemuro,40,JP,1554688800,56,43.32,145.57,41.0,8.05
174,Port Alfred,36,ZA,1554691925,94,-33.59,26.89,64.0,15.9
175,Ambon,90,FR,1554692126,100,47.55,-2.56,46.99,6.93
176,Nyurba,12,RU,1554691949,55,63.29,118.35,35.28,7.85
177,Vancouver,90,US,1554692001,93,45.63,-122.67,50.0,9.17
178,Severomorsk,0,RU,1554690600,85,69.07,33.42,14.0,4.47
179,Hasaki,75,JP,1554691962,75,35.73,140.83,50.0,9.17
180,Rio Gallegos,75,AR,1554688800,93,-51.62,-69.22,44.6,2.24
181,Thompson,90,CA,1554689520,85,55.74,-97.86,15.8,10.29
182,Evensk,0,RU,1554692254,85,61.92,159.24,31.77,12.55
183,Geraldton,90,CA,1554688800,92,49.72,-86.95,28.4,20.8
184,Hobart,0,AU,1554691635,38,-42.88,147.33,62.01,16.11
185,Pampierstad,24,ZA,1554692255,94,-27.78,24.69,57.78,14.56
186,Tazmalt,20,DZ,1554692067,87,36.39,4.4,53.01,5.82
187,Sabha,0,LY,1554692181,36,27.03,14.43,60.48,11.32
188,Kupang,20,ID,1554690600,55,-10.16,123.6,89.6,5.82
189,Griffith,8,AU,1554688800,33,-34.29,146.06,77.0,5.82
190,Kruisfontein,48,ZA,1554692136,79,-34.0,24.73,63.36,12.33
191,Half Moon Bay,90,US,1554692167,93,37.46,-122.43,66.2,5.82
192,Wagar,80,US,1554692244,88,31.44,-87.99,73.0,4.0
193,Airai,24,TL,1554692056,81,-8.93,125.41,79.74,1.36
194,Fomboni,68,KM,1554692256,100,-12.28,43.74,84.15,12.77
195,Biak,24,ID,1554692257,76,-0.91,122.88,87.93,1.36
196,Manono,76,CD,1554692257,96,-7.3,27.4,69.03,7.63
197,Vila Franca do Campo,20,PT,1554691923,66,37.72,-25.43,55.0,9.17
198,Rio Grande,0,BR,1554692091,98,-32.03,-52.1,64.53,6.62
199,Horasan,56,TR,1554692257,79,40.04,42.16,23.58,2.37
200,Meulaboh,44,ID,1554691946,100,4.14,96.13,83.43,0.58
201,Teacapan,0,MX,1554692258,61,22.54,-105.74,68.22,2.15
202,Inuvik,75,CA,1554688800,56,68.36,-133.71,14.0,6.93
203,Lompoc,1,US,1554692057,77,34.64,-120.46,71.01,10.29
204,Ginda,20,IN,1554688800,73,30.69,78.49,71.6,3.36
205,Ponta Delgada,20,PT,1554691983,66,37.73,-25.67,55.0,9.17
206,Mackay,75,CA,1554688800,39,53.65,-115.58,46.4,6.93
207,Zavyalovo,0,RU,1554690600,59,54.51,82.45,33.8,2.24
208,Constantine,40,DZ,1554688800,75,36.36,6.61,44.6,10.29
209,Yulara,20,AU,1554688800,21,-25.24,130.99,89.6,8.05
210,Norman Wells,90,CA,1554688800,68,65.28,-126.83,30.2,2.24
211,Tacuarembo,0,UY,1554692259,88,-31.73,-55.98,56.79,2.82
212,Te Anau,8,NZ,1554692137,46,-45.41,167.72,58.95,9.42
213,Gat,48,SN,1554690600,49,14.69,-16.54,71.6,21.92
214,San Pedro,0,AR,1554692225,77,-33.68,-59.66,59.0,1.99
215,Plettenberg Bay,68,ZA,1554692143,86,-34.05,23.37,66.06,9.98
216,Codrington,0,AU,1554692020,48,-28.95,153.24,86.0,4.7
217,Fortuna,20,ES,1554692012,55,38.18,-1.13,60.8,8.05
218,Yangjiang,80,CN,1554691923,71,21.85,111.96,82.99,10.76
219,Los Llanos de Aridane,76,ES,1554691510,77,28.66,-17.92,62.6,5.82
220,Komsomolskiy,88,RU,1554692177,96,67.55,63.78,26.1,6.73
221,Clyde River,68,CA,1554688800,92,70.47,-68.59,8.6,2.82
222,Manakara,36,MG,1554692262,96,-22.14,48.01,75.42,2.15
223,Lavrentiya,0,RU,1554691735,100,65.58,-170.99,16.2,39.06
224,Torbay,90,CA,1554691761,92,47.66,-52.73,30.99,18.34
225,Igarka,32,RU,1554692262,87,67.47,86.57,14.76,7.96
226,Henties Bay,92,NA,1554688929,90,-22.12,14.28,57.99,5.01
227,Belmonte,92,PT,1554691515,92,40.36,-7.35,48.99,8.99
228,Ferrol,80,ES,1554692064,87,43.48,-8.23,52.0,8.05
229,Flinders,0,AU,1554691936,27,-34.58,150.85,90.0,6.93
230,Buala,92,SB,1554692118,96,-8.15,159.59,83.97,2.93
231,Merauke,12,ID,1554692263,88,-8.49,140.4,88.02,3.94
232,Padang,40,ID,1554687000,74,-0.92,100.36,84.2,4.7
233,Ramshir,0,IR,1554688800,82,30.89,49.41,68.0,11.43
234,Soyo,88,AO,1554691966,97,-6.13,12.37,78.12,2.59
235,Mujiayingzi,36,CN,1554692264,62,42.12,118.78,39.96,3.94
236,Nikolskoye,40,RU,1554691966,69,59.7,30.79,41.0,8.95
237,Kavieng,80,PG,1554692059,100,-2.57,150.8,79.83,2.59
238,Manutuke,92,NZ,1554691805,97,-38.68,177.91,57.99,7.0
239,Shintomi,20,JP,1554688800,64,32.08,131.47,69.8,9.17
240,Cabo San Lucas,5,MX,1554691838,64,22.89,-109.91,71.6,8.05
241,Maniitsoq,68,GL,1554692265,78,65.42,-52.9,26.73,7.4
242,Puerto Ayora,20,EC,1554691503,83,-0.74,-90.35,80.6,6.93
243,Ligayan,56,PH,1554691943,99,4.65,119.47,83.25,10.54
244,Katherine,75,AU,1554690600,62,-14.47,132.26,87.8,10.29
245,Gori,76,GE,1554692265,88,41.99,44.11,38.16,2.37
246,Solvychegodsk,0,RU,1554692266,94,61.33,46.92,31.41,9.31
247,Matay,92,EG,1554692266,49,28.42,30.79,74.88,16.8
248,Urzhum,8,RU,1554692266,90,57.11,50.0,31.77,12.33
249,Sioux Lookout,90,CA,1554689820,95,50.1,-91.92,35.6,3.36
250,Mehran,0,IR,1554688800,81,33.12,46.17,44.6,4.7
251,Imeni Poliny Osipenko,32,RU,1554692266,69,52.42,136.49,40.23,6.17
252,Portland,90,US,1554692043,93,45.52,-122.67,50.0,9.17
253,Nuuk,68,GL,1554688200,86,64.17,-51.74,30.2,6.93
254,Todos Santos,5,MX,1554692140,64,23.45,-110.23,72.0,8.05
255,Akhnur,40,IN,1554688800,64,32.87,74.73,69.8,4.7
256,Sinjar,88,SY,1554692267,95,35.59,37.0,55.98,4.5
257,Lincoln,12,GB,1554692043,93,53.23,-0.54,46.4,10.29
258,Kunashak,0,RU,1554692104,74,55.7,61.55,37.0,6.71
259,Sitka,0,US,1554691624,45,37.17,-99.65,57.0,5.28
260,Manhush,56,UA,1554692268,86,47.06,37.31,46.89,16.69
261,Rafai,48,CF,1554692268,93,4.95,23.92,72.18,6.17
262,Burlington,90,CA,1554691920,61,43.32,-79.8,53.01,13.87
263,Kalaleh,90,IR,1554688800,100,37.38,55.49,53.6,4.7
264,Marsabit,0,KE,1554692269,70,2.34,37.99,70.92,5.17
265,Bandar-e Anzali,90,IR,1554690600,100,37.47,49.46,53.6,1.81
266,Ayorou,0,NE,1554692188,15,14.73,0.92,76.32,10.2
267,Konstantinovka,92,MD,1554691540,68,47.99,28.86,42.01,3.49
268,Praya,20,ID,1554688800,74,-8.71,116.27,86.0,6.93
269,Beloha,0,MG,1554692270,83,-25.17,45.06,70.56,8.19
270,Kungurtug,64,RU,1554692270,67,50.6,97.53,21.78,5.95
271,Limbang,75,BN,1554690600,66,4.75,115.01,89.6,4.7
272,Port-Gentil,88,GA,1554692092,97,-0.72,8.78,82.53,4.16
273,Brighton,75,GB,1554692262,100,50.82,-0.14,51.01,5.82
274,Oktyabrskoye,0,RU,1554692126,68,56.73,85.44,34.0,8.95
275,Coari,92,BR,1554692271,100,-4.09,-63.14,74.43,3.6
276,Saurimo,56,AO,1554692271,96,-9.66,20.4,64.44,2.59
277,Kuznechnoye,68,RU,1554692263,83,61.12,29.87,39.99,7.52
278,Russell,0,AR,1554688800,45,-33.01,-68.8,66.2,2.26
279,Aden,0,YE,1554692128,99,12.79,45.03,80.01,12.44
280,Tocopilla,8,CL,1554692272,100,-22.09,-70.2,61.38,4.61
281,Touros,20,BR,1554692400,100,-5.2,-35.46,77.0,4.7
282,Jiwani,8,PK,1554692272,76,25.05,61.74,77.31,6.51
283,Kirakira,56,SB,1554691946,100,-10.46,161.92,83.52,3.6
284,Alofi,0,NU,1554688800,66,-19.06,-169.92,86.0,8.05
285,Ejido,32,VE,1554692273,92,8.55,-71.24,55.8,1.59
286,Kaka,92,TM,1554692273,100,37.35,59.62,53.19,1.7
287,Manzhouli,0,CN,1554692064,39,49.6,117.43,39.87,8.19
288,Mamlyutka,0,KZ,1554690600,74,54.94,68.54,37.4,2.24
289,The Valley,20,AI,1554691562,69,18.22,-63.06,78.8,11.41
290,Bonavista,24,CA,1554691542,88,48.65,-53.11,30.0,21.99
291,Lodwar,8,KE,1554692274,70,3.12,35.6,70.56,2.37
292,Iwanai,24,JP,1554692274,85,42.97,140.51,41.67,2.82
293,Lethem,8,GY,1554692274,54,3.38,-59.8,84.51,14.12
294,Saint George,90,GR,1554692002,93,39.45,22.34,55.0,3.6
295,Ilulissat,48,GL,1554688200,41,69.22,-51.1,41.0,17.22
296,Guerrero Negro,0,MX,1554692068,50,27.97,-114.04,69.84,11.99
297,Muzaffargarh,0,PK,1554690600,60,30.08,71.19,71.6,6.93
298,Deputatskiy,0,RU,1554692083,85,69.3,139.9,25.38,3.94
299,Prince Rupert,90,CA,1554689040,81,54.32,-130.32,44.6,16.11
300,Killybegs,92,IE,1554692222,88,54.63,-8.45,43.0,1.99
301,Umm Kaddadah,0,SD,1554692275,26,13.6,26.69,60.66,2.82
302,Nicoya,0,CR,1554691540,51,10.15,-85.45,84.2,5.82
303,Tuatapere,44,NZ,1554691806,49,-46.13,167.69,68.0,9.86
304,Arkadak,12,RU,1554692276,83,51.94,43.49,18.45,3.38
305,Shubarshi,68,KZ,1554692276,84,48.59,57.19,40.5,10.76
306,Havelock,1,US,1554691943,87,34.88,-76.9,61.0,3.36
307,Linxia,80,CN,1554692276,52,35.6,103.21,49.68,3.49
308,Tiksi,64,RU,1554691959,73,71.64,128.87,31.05,12.77
309,Sosnogorsk,92,RU,1554692277,99,63.59,53.93,33.84,3.27
310,Udachnyy,32,RU,1554692161,66,66.42,112.4,22.68,3.94
311,Eyl,92,SO,1554692277,100,7.98,49.82,77.13,4.83
312,Mahajanga,20,MG,1554688800,83,-15.72,46.32,78.8,4.7
313,Souillac,0,FR,1554692068,100,45.6,-0.6,46.0,5.82
314,Hohhot,0,CN,1554688800,20,40.81,111.65,57.2,11.18
315,Saint-Francois,90,FR,1554691560,93,46.42,3.91,44.6,3.36
316,Erechim,90,BR,1554688800,93,-27.64,-52.27,66.2,4.83
317,Necochea,0,AR,1554692086,58,-38.55,-58.74,64.35,11.88
318,Kaeo,8,NZ,1554691084,55,-35.1,173.78,68.0,11.99
319,Saint-Joseph,0,FR,1554692158,93,43.56,6.97,48.2,3.36
320,Roald,0,NO,1554692104,64,62.58,6.12,37.4,21.92
321,Alta Floresta,76,BR,1554691858,97,-9.87,-56.08,73.35,2.15
322,Vieux-Habitants,0,GP,1554690600,78,16.06,-61.77,73.4,4.7
323,Ormond Beach,1,US,1554692144,94,29.29,-81.06,75.0,4.7
324,Klaksvik,80,FO,1554690000,69,62.23,-6.59,39.2,11.41
325,Moyale,8,ET,1554692279,81,3.52,39.05,63.45,2.59
326,Telimele,68,GN,1554692279,81,10.9,-13.03,74.52,3.6
327,Dwarka,20,IN,1554691507,61,28.58,77.04,90.0,3.36
328,Annau,90,TM,1554688800,100,37.89,58.52,60.8,4.7
329,Tyup,0,KG,1554692280,84,42.73,78.36,31.32,1.92
330,Nampula,75,MZ,1554688800,94,-15.12,39.26,75.2,4.7
331,Vanavara,0,RU,1554692280,65,60.35,102.28,28.62,7.63
332,Eskisehir,75,TR,1554688200,93,39.78,30.52,48.2,2.24
333,Gorontalo,0,ID,1554692142,62,0.54,123.06,88.29,2.15
334,Tomatlan,0,MX,1554692281,88,19.93,-105.25,65.7,2.59
335,Peniche,20,PT,1554692192,93,39.36,-9.38,55.4,6.93
336,Praia,40,BR,1554688800,83,-20.25,-43.81,71.6,1.81
337,Samana,92,EC,1554692281,97,0.12,-76.97,71.82,2.04
338,Vila Velha,40,BR,1554692400,78,-3.71,-38.6,82.4,8.05
339,Thouars,0,FR,1554692230,100,46.98,-0.22,39.0,2.24
340,Susani,32,RO,1554690600,81,46.45,22.18,46.4,5.82
341,Namatanai,80,PG,1554692146,100,-3.66,152.44,80.82,9.31
342,Namibe,8,AO,1554692087,100,-15.19,12.15,75.87,3.94
343,Adrar,0,DZ,1554688800,23,27.87,-0.29,60.8,11.41
344,Mangan,0,IN,1554692283,69,27.5,88.54,36.0,1.25
345,Dicabisagan,48,PH,1554692150,93,17.08,122.42,80.73,4.5
346,Eydhafushi,0,MV,1554692283,100,5.1,73.07,84.6,2.93
347,Kajaani,0,FI,1554690000,91,64.22,27.73,32.0,9.17
348,Ketchikan,90,US,1554688740,75,55.34,-131.65,46.4,25.28
349,Port Macquarie,48,AU,1554691804,24,-31.43,152.91,91.0,12.75
350,Sola,75,NO,1554692103,93,58.89,5.65,42.01,2.24
351,Borba,92,PT,1554692153,98,38.81,-7.46,51.48,8.75
352,Nioro,24,GM,1554692284,26,13.79,-15.05,81.36,11.43
353,Vao,92,EE,1554692285,95,59.1,26.19,39.42,3.49
354,Santo Augusto,12,BR,1554692285,92,-27.85,-53.78,65.52,6.29
355,Thinadhoo,0,MV,1554692132,100,0.53,72.93,84.24,3.71
356,Katsuura,20,JP,1554690898,59,33.93,134.5,62.6,13.87
357,Amga,24,RU,1554692285,49,60.89,131.98,33.03,7.29
358,Alexandria,75,US,1554691791,100,31.31,-92.44,64.99,10.54
359,Sal,92,SY,1554692286,99,36.63,38.46,53.73,4.38
360,Viedma,0,AR,1554692286,64,-40.81,-62.99,63.81,11.1
361,Vaitape,92,PF,1554692286,100,-16.52,-151.75,84.15,16.24
362,Bud,0,NO,1554691543,64,62.91,6.91,37.4,11.41
363,Vrangel,56,RU,1554692286,87,42.73,133.08,39.69,8.75
364,Tateyama,20,JP,1554692080,54,36.66,137.31,61.0,8.05
365,Rocha,0,UY,1554692090,86,-34.48,-54.34,49.14,2.71
366,Williams Lake,75,CA,1554688800,52,52.13,-122.14,42.8,6.93
367,Perth,90,GB,1554691952,87,56.4,-3.43,43.0,16.11
368,Berlevag,80,NO,1554692143,100,70.86,29.09,27.63,7.85
369,Karlskrona,80,SE,1554690000,66,56.16,15.59,39.2,6.93
370,Bloemfontein,92,ZA,1554688800,93,-29.12,26.22,53.6,3.36
371,Nanortalik,92,GL,1554691945,99,60.14,-45.24,30.15,5.17
372,Kaga,40,JP,1554691683,54,36.3,136.31,61.0,8.05
373,Erba,40,IT,1554692284,100,45.81,9.23,46.0,1.12
374,Moscow,0,RU,1554691211,80,55.75,37.62,37.99,6.71
375,Seaforth,75,AU,1554692242,88,-20.9,148.96,82.4,24.16
